day,window,start_frame,end_frame,mean_observations_per_frame,sd_observations_per_frame
11,0,21112,39111,0.02800000,0.17092688
11,1,39112,57111,0.29783333,0.67553746
11,2,57112,75111,0.44561111,0.92504514
11,3,75112,93111,0.70961111,1.17613154
11,4,93112,111111,1.03683333,1.89784351
11,5,111112,129111,1.17444444,2.24828632
11,6,129112,147111,1.59561111,3.41213076
11,7,147112,165111,1.24611111,2.45847432
11,8,165112,183111,1.09566667,2.40302196
11,9,183112,201111,1.35888889,2.94401066
11,10,201112,219111,1.16466667,2.40815660
11,11,219112,237111,1.00077778,1.87474427
11,12,237112,255111,0.98716667,1.51375243
11,13,255112,273111,1.21966667,2.25619441
11,14,273112,291111,1.01516667,2.00838326
11,15,291112,309111,0.76983333,1.57390914
11,16,309112,327111,0.83611111,1.50481685
11,17,327112,345111,0.70255556,1.34005561
11,18,345112,363111,0.45627778,0.88974374
11,19,363112,381111,0.42144444,0.90752785
11,20,381112,399111,0.43533333,0.92834165
11,21,399112,417111,0.44666667,0.92143608
11,22,417112,435111,0.43650000,0.86741697
11,23,435112,453111,0.28788889,0.62486264
11,24,453112,471111,0.27477778,0.63267286
11,25,471112,489111,0.22872222,0.53089812
11,26,489112,507111,0.11188889,0.33670427
11,27,507112,525111,0.12211111,0.37100463
11,28,525112,543111,0.03161111,0.17559633
11,29,543112,561111,0.05283333,0.23294676
12,0,21759,39758,0.04166667,0.21065374
12,1,39759,57758,0.18438889,0.47673737
12,2,57759,75758,0.39977778,0.78504066
12,3,75759,93758,0.67966667,1.21066919
12,4,93759,111758,0.81288889,1.52351585
12,5,111759,129758,0.90627778,1.89916488
12,6,129759,147758,0.88116667,1.68991807
12,7,147759,165758,0.90688889,1.74161397
12,8,165759,183758,0.70505556,1.31961989
12,9,183759,201758,0.91277778,1.51435834
12,10,201759,219758,0.84266667,1.49306605
12,11,219759,237758,0.74727778,1.31806606
12,12,237759,255758,0.89700000,1.78489088
12,13,255759,273758,0.61844444,1.15319547
12,14,273759,291758,0.68327778,1.15972618
12,15,291759,309758,0.49961111,0.93434461
12,16,309759,327758,0.52333333,1.04003739
12,17,327759,345758,0.39744444,0.84809206
12,18,345759,363758,0.48411111,0.97824831
12,19,363759,381758,0.35922222,0.79816697
12,20,381759,399758,0.34316667,0.63793327
12,21,399759,417758,0.42911111,0.90822005
12,22,417759,435758,0.33527778,0.71459385
12,23,435759,453758,0.24000000,0.56946369
12,24,453759,471758,0.23850000,0.57970872
12,25,471759,489758,0.13011111,0.39138499
12,26,489759,507758,0.11666667,0.35142567
12,27,507759,525758,0.12305556,0.35888964
12,28,525759,543758,0.06900000,0.29138577
12,29,543759,561758,0.05894444,0.25215295
12,30,561759,579758,0.08283333,0.30050841
13,0,26362,44361,0.06088889,0.25180082
13,1,44362,62361,0.16555556,0.43144746
13,2,62362,80361,0.29783333,0.64611297
13,3,80362,98361,0.61283333,1.08086476
13,4,98362,116361,0.99038889,1.71414600
13,5,116362,134361,0.89966667,1.58115285
13,6,134362,152361,0.93788889,1.60928831
13,7,152362,170361,1.10088889,1.82261695
13,8,170362,188361,1.18155556,1.81715095
13,9,188362,206361,0.99416667,1.33712767
13,10,206362,224361,0.79177778,1.20562531
13,11,224362,242361,0.89922222,1.36620295
13,12,242362,260361,0.94905556,1.36243825
13,13,260362,278361,0.81222222,1.12173752
13,14,278362,296361,0.98305556,1.36458850
13,15,296362,314361,1.03627778,1.71977567
13,16,314362,332361,1.00511111,1.63257686
13,17,332362,350361,0.78200000,1.29264088
13,18,350362,368361,0.80327778,1.39200907
13,19,368362,386361,0.40350000,0.82470128
13,20,386362,404361,0.51094444,0.95748060
13,21,404362,422361,0.45494444,0.94055126
13,22,422362,440361,0.39505556,0.82447828
13,23,440362,458361,0.33600000,0.70544990
13,24,458362,476361,0.34916667,0.74968466
13,25,476362,494361,0.40777778,0.81346007
13,26,494362,512361,0.34911111,0.70008673
13,27,512362,530361,0.28100000,0.55391044
13,28,530362,548361,0.30005556,0.67644495
13,29,548362,566361,0.23900000,0.54771353
13,30,566362,584361,0.15116667,0.41644497
13,31,584362,602361,0.09944444,0.31162606
